Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 36.90      0.31     0.31 73896763     0.00     0.00  Image::get_pixel(int, int, int) const
 16.67      0.45     0.14       41     3.41     9.79  gaussian_blur(Image const&, float)
 13.10      0.56     0.11   747601     0.00     0.00  sift::update_histograms(float (*) [4][8], float, float, float, float, float)
  5.95      0.61     0.05  9622943     0.00     0.00  Image::set_pixel(int, int, int, float)
  4.76      0.65     0.04   438006     0.00     0.00  sift::point_is_extremum(std::vector<Image, std::allocator<Image> > const&, int, int, int)
  4.76      0.69     0.04      560     0.07     0.33  sift::compute_keypoint_descriptor(sift::Keypoint&, float, sift::ScaleSpacePyramid const&, float)
  4.76      0.73     0.04      131     0.31     0.31  Image::Image(Image const&)
  2.38      0.75     0.02 33092213     0.00     0.00  std::abs(float)
  2.38      0.77     0.02        1    20.00    81.32  sift::find_keypoints(sift::ScaleSpacePyramid const&, float, float)
  2.38      0.79     0.02        1    20.00   104.11  sift::generate_gradient_pyramid(sift::ScaleSpacePyramid const&)
  1.19      0.80     0.01 12391866     0.00     0.00  std::vector<Image, std::allocator<Image> >::operator[](unsigned long) const
  1.19      0.81     0.01   982721     0.00     0.00  std::atan2(float, float)
  1.19      0.82     0.01   770228     0.00     0.00  map_coordinate(float, float, float)
  1.19      0.83     0.01      499     0.02     0.03  sift::find_keypoint_orientations(sift::Keypoint&, sift::ScaleSpacePyramid const&, float, float)
  1.19      0.84     0.01        1    10.00    35.98  sift::generate_dog_pyramid(sift::ScaleSpacePyramid const&)
  0.00      0.84     0.00 11065787     0.00     0.00  std::vector<std::vector<Image, std::allocator<Image> >, std::allocator<std::vector<Image, std::allocator<Image> > > >::operator[](unsigned long) const
  0.00      0.84     0.00  1967400     0.00     0.00  __gnu_cxx::__promote_2<float, int, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<float, int>(float, int)
  0.00      0.84     0.00  1964314     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      0.84     0.00  1554018     0.00     0.00  float const& std::max<float>(float const&, float const&)
  0.00      0.84     0.00   983847     0.00     0.00  std::sqrt(float)
  0.00      0.84     0.00   982157     0.00     0.00  std::initializer_list<int>::end() const
  0.00      0.84     0.00   982157     0.00     0.00  std::initializer_list<int>::size() const
  0.00      0.84     0.00   649696     0.00     0.00  std::floor(float)
  0.00      0.84     0.00   289008     0.00     0.00  bilinear_interpolate(Image const&, float, float, int)
  0.00      0.84     0.00   258774     0.00     0.00  stbiw__jpg_writeBits(stbi__write_context*, int*, int*, unsigned short const*)
  0.00      0.84     0.00   206312     0.00     0.00  std::round(float)
  0.00      0.84     0.00   135941     0.00     0.00  stbi__stdio_write(void*, void*, int)
  0.00      0.84     0.00   135928     0.00     0.00  stbiw__putc(stbi__write_context*, unsigned char)
  0.00      0.84     0.00   128110     0.00     0.00  stbiw__jpg_calcBits(int, unsigned short*)
  0.00      0.84     0.00    96106     0.00     0.00  nn_interpolate(Image const&, float, float, int)
  0.00      0.84     0.00    74798     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      0.84     0.00    71680     0.00     0.00  std::__array_traits<unsigned char, 128ul>::_S_ref(unsigned char const (&) [128], unsigned long)
  0.00      0.84     0.00    71680     0.00     0.00  std::array<unsigned char, 128ul>::operator[](unsigned long)
  0.00      0.84     0.00    71680     0.00     0.00  float const& std::min<float>(float const&, float const&)
  0.00      0.84     0.00    71680     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.84     0.00    70557     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  0.00      0.84     0.00    61236     0.00     0.00  stbi__paeth(int, int, int)
  0.00      0.84     0.00    55104     0.00     0.00  stbiw__jpg_DCT(float*, float*, float*, float*, float*, float*, float*, float*)
  0.00      0.84     0.00    50597     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00      0.84     0.00    40368     0.00     0.00  float& std::forward<float&>(std::remove_reference<float&>::type&)
  0.00      0.84     0.00    24211     0.00     0.00  stbi__fill_bits(stbi__zbuf*)
  0.00      0.84     0.00    10110     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
